text,label
"Dear customer, your PayPal account has been suspended. Click here to verify your identity within 24 hours: https://account-update.xyz/verify",1
Final notice: Your Google subscription will be cancelled. Renew now and confirm your card details: http://bit.ly/3kXyZ1,1
Action required: Your tax refund of $2905 is ready. Verify your details to receive your refund: http://paypal-alert.cf/secure,1
Action required: Your tax refund of $2736 is ready. Verify your details to receive your refund: http://bit.ly/3kXyZ1,1
Thanks for your order #15788! Your Bank of America package has shipped and should arrive within 6 business days.,0
"Dear customer, your Dropbox account has been suspended. Click here to verify your identity within 24 hours: http://paypal-alert.cf/secure",1
FYI - I've updated the Aurora doc with the latest numbers (rev 1950). Take a look when you can.,0
Quick question - are you free for a 2:30 PM call on Friday to discuss the Nimbus roadmap?,0
Action required: Your tax refund of $4606 is ready. Verify your details to receive your refund: http://192.168.4.22/confirm,1
"Hi, attaching the meeting notes from today's call (#78251). Action items are highlighted at the bottom.",0
Quick question - are you free for a 10:00 AM call on Wednesday to discuss the Aurora roadmap?,0
"Hey, here's the report you asked for (ref: 8203). Let me know if you have any questions or need changes before Friday.",0
Thanks for your order #52955! Your Netflix package has shipped and should arrive within 5 business days.,0
"Hey, here's the report you asked for (ref: 5082). Let me know if you have any questions or need changes before Friday.",0
Your Dropbox order #56332 has been delivered. We hope you enjoy it!,0
Your Apple ID storage is full. Click below to upgrade or your files will be deleted in 48 hours: http://secure-verify-account.tk/login,1
Thanks for signing up for our newsletter. Here's a summary of this week's top 21025 articles.,0
"Dear customer, your Bank of America account has been suspended. Click here to verify your identity within 24 hours: http://bit.ly/3kXyZ1",1
Here's the recipe you wanted (makes 6 servings) - hope you enjoy making it this weekend!,0
Great catching up today! Looking forward to working together on the Aurora project next quarter.,0
"Following up on our conversation about Atlas - I've shared doc #3871 with you, let me know your thoughts.",0
Your Google order #67616 has been delivered. We hope you enjoy it!,0
Your subscription to Dropbox was renewed successfully (order #98170). Thanks for being a loyal customer.,0
FYI - I've updated the Atlas doc with the latest numbers (rev 7023). Take a look when you can.,0
Your Microsoft 365 order #18557 has been delivered. We hope you enjoy it!,0
Action required: Your tax refund of $1039 is ready. Verify your details to receive your refund: http://secure-verify-account.tk/login,1
"Hi, attaching the meeting notes from today's call (#99932). Action items are highlighted at the bottom.",0
Final notice: Your Apple ID subscription will be cancelled. Renew now and confirm your card details: http://bit.ly/3kXyZ1,1
Thanks for your order #76025! Your Bank of America package has shipped and should arrive within 4 business days.,0
"Hi, attaching the meeting notes from today's call (#35891). Action items are highlighted at the bottom.",0
Your invoice #29548 is overdue. Please make payment immediately to avoid legal action. Pay here: https://account-update.xyz/verify,1
"Hey, here's the report you asked for (ref: 4833). Let me know if you have any questions or need changes before Friday.",0
"Hey, here's the report you asked for (ref: 5235). Let me know if you have any questions or need changes before Friday.",0
Final notice: Your Google subscription will be cancelled. Renew now and confirm your card details: https://account-update.xyz/verify,1
Your monthly statement for Dropbox (account ending 5516) is now available in your dashboard. No action is needed.,0
FYI - I've updated the Nimbus doc with the latest numbers (rev 9068). Take a look when you can.,0
Your Netflix storage is full. Click below to upgrade or your files will be deleted in 48 hours: http://192.168.4.22/confirm,1
"Hi, attaching the meeting notes from today's call (#20454). Action items are highlighted at the bottom.",0
"Security Alert: We noticed a login attempt from a new device. If this wasn't you, secure your account immediately: http://192.168.4.22/confirm",1
"Hey, here's the report you asked for (ref: 9791). Let me know if you have any questions or need changes before Friday.",0
Thanks for signing up for our newsletter. Here's a summary of this week's top 74695 articles.,0
Action required: Your tax refund of $3711 is ready. Verify your details to receive your refund: http://secure-verify-account.tk/login,1
"Following up on our conversation about Atlas - I've shared doc #1169 with you, let me know your thoughts.",0
Thanks for your order #94715! Your Instagram package has shipped and should arrive within 3 business days.,0
Your password will expire today. Click here to reset it immediately and avoid losing access: http://bit.ly/3kXyZ1,1
FYI - I've updated the Nimbus doc with the latest numbers (rev 7445). Take a look when you can.,0
"Hi team, just a reminder that our weekly sync is moved to 9:00 AM tomorrow (9979). Let me know if that works for everyone.",0
"Lunch on Wednesday at 2:30 PM? Found a new place near the office, ref code 7307.",0
Your subscription to Netflix was renewed successfully (order #14868). Thanks for being a loyal customer.,0
"Hey, here's the report you asked for (ref: 1386). Let me know if you have any questions or need changes before Friday.",0
Your invoice #94958 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
"Hi, attaching the meeting notes from today's call (#36923). Action items are highlighted at the bottom.",0
Thanks for your order #37153! Your PayPal package has shipped and should arrive within 5 business days.,0
Reminder: your appointment with Dr. Garcia is scheduled for 2:30 PM on Friday. Reply to confirm or reschedule.,0
We could not process your recent Netflix order. Please confirm your payment details to avoid cancellation: http://paypal-alert.cf/secure,1
Your invoice #32930 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
Thanks for signing up for our newsletter. Here's a summary of this week's top 31894 articles.,0
FYI - I've updated the Nimbus doc with the latest numbers (rev 4205). Take a look when you can.,0
Your subscription to Dropbox was renewed successfully (order #78037). Thanks for being a loyal customer.,0
FYI - I've updated the Nimbus doc with the latest numbers (rev 4370). Take a look when you can.,0
Your invoice #58889 is overdue. Please make payment immediately to avoid legal action. Pay here: http://bit.ly/3kXyZ1,1
Your monthly statement for Spotify (account ending 7243) is now available in your dashboard. No action is needed.,0
Your invoice #11562 is overdue. Please make payment immediately to avoid legal action. Pay here: http://bit.ly/3kXyZ1,1
"Lunch on Friday at 10:00 AM? Found a new place near the office, ref code 4023.",0
FYI - I've updated the Atlas doc with the latest numbers (rev 9290). Take a look when you can.,0
Your invoice #46442 is overdue. Please make payment immediately to avoid legal action. Pay here: http://bit.ly/3kXyZ1,1
Your invoice #59270 is overdue. Please make payment immediately to avoid legal action. Pay here: https://account-update.xyz/verify,1
Your subscription to Microsoft 365 was renewed successfully (order #27714). Thanks for being a loyal customer.,0
Your subscription to Microsoft 365 was renewed successfully (order #92337). Thanks for being a loyal customer.,0
Your Instagram payment failed. Update your billing information immediately to avoid service interruption: https://account-update.xyz/verify,1
Your Instagram order #23065 has been delivered. We hope you enjoy it!,0
"Hi team, just a reminder that our weekly sync is moved to 10:00 AM tomorrow (8314). Let me know if that works for everyone.",0
FYI - I've updated the Atlas doc with the latest numbers (rev 6250). Take a look when you can.,0
Thanks for signing up for our newsletter. Here's a summary of this week's top 39267 articles.,0
FYI - I've updated the Aurora doc with the latest numbers (rev 3573). Take a look when you can.,0
URGENT: Unusual sign-in activity detected on your Google account. Confirm your password now or your account will be locked: https://account-update.xyz/verify,1
Thanks for your order #85761! Your Apple ID package has shipped and should arrive within 5 business days.,0
"Congratulations! You have won a $1,000 Amazon Gift Card. Claim your reward now by entering your bank details here: http://bit.ly/3kXyZ1",1
"Following up on our conversation about Nimbus - I've shared doc #6273 with you, let me know your thoughts.",0
Your monthly statement for Dropbox (account ending 9189) is now available in your dashboard. No action is needed.,0
"Lunch on Friday at 10:00 AM? Found a new place near the office, ref code 7525.",0
"Following up on our conversation about Nimbus - I've shared doc #9410 with you, let me know your thoughts.",0
FYI - I've updated the Phoenix doc with the latest numbers (rev 9898). Take a look when you can.,0
"Hi team, just a reminder that our weekly sync is moved to 2:30 PM tomorrow (1635). Let me know if that works for everyone.",0
Your invoice #70971 is overdue. Please make payment immediately to avoid legal action. Pay here: http://paypal-alert.cf/secure,1
Thanks for your order #95999! Your Bank of America package has shipped and should arrive within 5 business days.,0
Your subscription to Instagram was renewed successfully (order #47635). Thanks for being a loyal customer.,0
We could not process your recent Netflix order. Please confirm your payment details to avoid cancellation: http://192.168.4.22/confirm,1
"Following up on our conversation about Nimbus - I've shared doc #7685 with you, let me know your thoughts.",0
Your subscription to Apple ID was renewed successfully (order #55297). Thanks for being a loyal customer.,0
Final notice: Your PayPal subscription will be cancelled. Renew now and confirm your card details: http://192.168.4.22/confirm,1
"Hey, here's the report you asked for (ref: 3173). Let me know if you have any questions or need changes before Friday.",0
Your Instagram order #77493 has been delivered. We hope you enjoy it!,0
Your monthly statement for Spotify (account ending 2308) is now available in your dashboard. No action is needed.,0
Reminder: your appointment with Dr. Lee is scheduled for 2:30 PM on Wednesday. Reply to confirm or reschedule.,0
Your Spotify payment failed. Update your billing information immediately to avoid service interruption: http://bit.ly/3kXyZ1,1
URGENT: Unusual sign-in activity detected on your Dropbox account. Confirm your password now or your account will be locked: https://account-update.xyz/verify,1
Your monthly statement for Bank of America (account ending 5405) is now available in your dashboard. No action is needed.,0
Reminder: your appointment with Dr. Patel is scheduled for 4:00 PM on Monday. Reply to confirm or reschedule.,0
Reminder: your appointment with Dr. Smith is scheduled for 4:00 PM on next Tuesday. Reply to confirm or reschedule.,0
Action required: Your tax refund of $482 is ready. Verify your details to receive your refund: http://secure-verify-account.tk/login,1
Your Apple ID order #84280 has been delivered. We hope you enjoy it!,0
Reminder: your appointment with Dr. Garcia is scheduled for 10:00 AM on Wednesday. Reply to confirm or reschedule.,0
"Hey, here's the report you asked for (ref: 6077). Let me know if you have any questions or need changes before Friday.",0
Thanks for your order #82349! Your Netflix package has shipped and should arrive within 2 business days.,0
"Hi, attaching the meeting notes from today's call (#13669). Action items are highlighted at the bottom.",0
Thanks for your order #82323! Your Instagram package has shipped and should arrive within 6 business days.,0
Your PayPal order #21944 has been delivered. We hope you enjoy it!,0
"Dear customer, your Spotify account has been suspended. Click here to verify your identity within 24 hours: https://account-update.xyz/verify",1
Action required: Your tax refund of $4309 is ready. Verify your details to receive your refund: http://secure-verify-account.tk/login,1
Quick question - are you free for a 4:00 PM call on next Tuesday to discuss the Nimbus roadmap?,0
"Hey, here's the report you asked for (ref: 4927). Let me know if you have any questions or need changes before Friday.",0
"Hi team, just a reminder that our weekly sync is moved to 10:00 AM tomorrow (3870). Let me know if that works for everyone.",0
Your Dropbox order #64214 has been delivered. We hope you enjoy it!,0
Your subscription to PayPal was renewed successfully (order #64710). Thanks for being a loyal customer.,0
Your Dropbox payment failed. Update your billing information immediately to avoid service interruption: https://account-update.xyz/verify,1
Your monthly statement for Bank of America (account ending 8440) is now available in your dashboard. No action is needed.,0
Reminder: your appointment with Dr. Lee is scheduled for 4:00 PM on Wednesday. Reply to confirm or reschedule.,0
FYI - I've updated the Aurora doc with the latest numbers (rev 4550). Take a look when you can.,0
Your monthly statement for Bank of America (account ending 1495) is now available in your dashboard. No action is needed.,0
"Hi, attaching the meeting notes from today's call (#88412). Action items are highlighted at the bottom.",0
Action required: Your tax refund of $2676 is ready. Verify your details to receive your refund: http://paypal-alert.cf/secure,1
"Following up on our conversation about Nimbus - I've shared doc #9077 with you, let me know your thoughts.",0
Your Microsoft 365 order #57251 has been delivered. We hope you enjoy it!,0
Thanks for signing up for our newsletter. Here's a summary of this week's top 65491 articles.,0
Your invoice #51845 is overdue. Please make payment immediately to avoid legal action. Pay here: http://bit.ly/3kXyZ1,1
Thanks for signing up for our newsletter. Here's a summary of this week's top 45130 articles.,0
Congratulations! You have won a $500 cash prize. Claim your reward now by entering your bank details here: http://bit.ly/3kXyZ1,1
Your invoice #14803 is overdue. Please make payment immediately to avoid legal action. Pay here: http://192.168.4.22/confirm,1
Your PayPal storage is full. Click below to upgrade or your files will be deleted in 48 hours: http://paypal-alert.cf/secure,1
Thanks for signing up for our newsletter. Here's a summary of this week's top 17275 articles.,0
We could not process your recent Microsoft 365 order. Please confirm your payment details to avoid cancellation: https://account-update.xyz/verify,1
"Hi, attaching the meeting notes from today's call (#92996). Action items are highlighted at the bottom.",0
Action required: Your tax refund of $2338 is ready. Verify your details to receive your refund: http://paypal-alert.cf/secure,1
Your Netflix payment failed. Update your billing information immediately to avoid service interruption: https://account-update.xyz/verify,1
URGENT: Unusual sign-in activity detected on your Microsoft 365 account. Confirm your password now or your account will be locked: https://account-update.xyz/verify,1
"Following up on our conversation about Nimbus - I've shared doc #8364 with you, let me know your thoughts.",0
Your subscription to Amazon was renewed successfully (order #13223). Thanks for being a loyal customer.,0
Your monthly statement for Google (account ending 2540) is now available in your dashboard. No action is needed.,0
URGENT: Unusual sign-in activity detected on your Instagram account. Confirm your password now or your account will be locked: http://paypal-alert.cf/secure,1
Thanks for signing up for our newsletter. Here's a summary of this week's top 35826 articles.,0
Your Netflix payment failed. Update your billing information immediately to avoid service interruption: http://192.168.4.22/confirm,1
"Hi, attaching the meeting notes from today's call (#30062). Action items are highlighted at the bottom.",0
Your invoice #91365 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
"Lunch on next Tuesday at 10:00 AM? Found a new place near the office, ref code 5039.",0
Your Apple ID order #70227 has been delivered. We hope you enjoy it!,0
Action required: Your tax refund of $3740 is ready. Verify your details to receive your refund: https://account-update.xyz/verify,1
Your Apple ID order #59426 has been delivered. We hope you enjoy it!,0
Final notice: Your Instagram subscription will be cancelled. Renew now and confirm your card details: http://bit.ly/3kXyZ1,1
"Hi team, just a reminder that our weekly sync is moved to 2:30 PM tomorrow (3530). Let me know if that works for everyone.",0
Your invoice #11411 is overdue. Please make payment immediately to avoid legal action. Pay here: https://account-update.xyz/verify,1
Your monthly statement for Apple ID (account ending 6257) is now available in your dashboard. No action is needed.,0
Your subscription to Instagram was renewed successfully (order #48087). Thanks for being a loyal customer.,0
Thanks for signing up for our newsletter. Here's a summary of this week's top 12549 articles.,0
We could not process your recent Dropbox order. Please confirm your payment details to avoid cancellation: http://paypal-alert.cf/secure,1
"Following up on our conversation about Aurora - I've shared doc #7631 with you, let me know your thoughts.",0
"Hi team, just a reminder that our weekly sync is moved to 10:00 AM tomorrow (3797). Let me know if that works for everyone.",0
Final notice: Your Microsoft 365 subscription will be cancelled. Renew now and confirm your card details: https://account-update.xyz/verify,1
"Hey, here's the report you asked for (ref: 2015). Let me know if you have any questions or need changes before Friday.",0
Your invoice #16238 is overdue. Please make payment immediately to avoid legal action. Pay here: http://secure-verify-account.tk/login,1
Quick question - are you free for a 9:00 AM call on Friday to discuss the Atlas roadmap?,0
Your PayPal storage is full. Click below to upgrade or your files will be deleted in 48 hours: http://bit.ly/3kXyZ1,1
Your Bank of America storage is full. Click below to upgrade or your files will be deleted in 48 hours: https://account-update.xyz/verify,1
Your Apple ID order #95031 has been delivered. We hope you enjoy it!,0
Reminder: your appointment with Dr. Lee is scheduled for 2:30 PM on Monday. Reply to confirm or reschedule.,0
"Dear customer, your Instagram account has been suspended. Click here to verify your identity within 24 hours: http://bit.ly/3kXyZ1",1
"Following up on our conversation about Nimbus - I've shared doc #3323 with you, let me know your thoughts.",0
Reminder: your appointment with Dr. Garcia is scheduled for 10:00 AM on next Tuesday. Reply to confirm or reschedule.,0
Your password will expire today. Click here to reset it immediately and avoid losing access: http://192.168.4.22/confirm,1
Your subscription to Amazon was renewed successfully (order #42435). Thanks for being a loyal customer.,0
Action required: Your tax refund of $4076 is ready. Verify your details to receive your refund: http://192.168.4.22/confirm,1
Action required: Your tax refund of $3613 is ready. Verify your details to receive your refund: http://secure-verify-account.tk/login,1
Action required: Your tax refund of $4184 is ready. Verify your details to receive your refund: http://bit.ly/3kXyZ1,1
"Dear customer, your Instagram account has been suspended. Click here to verify your identity within 24 hours: https://account-update.xyz/verify",1
"Hi, attaching the meeting notes from today's call (#22021). Action items are highlighted at the bottom.",0
"Dear customer, your PayPal account has been suspended. Click here to verify your identity within 24 hours: http://bit.ly/3kXyZ1",1
Final notice: Your Google subscription will be cancelled. Renew now and confirm your card details: http://paypal-alert.cf/secure,1
"Following up on our conversation about Aurora - I've shared doc #2314 with you, let me know your thoughts.",0
Action required: Your tax refund of $675 is ready. Verify your details to receive your refund: https://account-update.xyz/verify,1
Your monthly statement for Apple ID (account ending 7050) is now available in your dashboard. No action is needed.,0
Great catching up today! Looking forward to working together on the Phoenix project next quarter.,0
Action required: Your tax refund of $4676 is ready. Verify your details to receive your refund: https://account-update.xyz/verify,1
Action required: Your tax refund of $2208 is ready. Verify your details to receive your refund: http://secure-verify-account.tk/login,1
"Hi team, just a reminder that our weekly sync is moved to 4:00 PM tomorrow (1974). Let me know if that works for everyone.",0
